Position,class,breed_name,size,exercise,size_of_home,grooming,coat_length,sheds,lifespan,vulnerable_native_breed,town_or_country,size_of_garden
158,UTILITY,Poodle (Miniature),Small,Up to 1 hour per day,Small house,Every day,Medium,No,Over 12 years,No,Either,Small/ medium garden
159,UTILITY,Poodle (Standard),Medium,Up to 1 hour per day,Large house,Every day,Medium,No,Over 12 years,No,Either,Large garden
160,UTILITY,Poodle (Toy),Small,Up to 1 hour per day,Flat/ Apartment,Every day,Medium,No,Over 12 years,No,Either,Small/ medium garden
161,HOUND,Portuguese Podengo,Small,Up to 30 minutes per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
162,GUNDOG,Portuguese Pointer (Imp),Medium,Up to 1 hour per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
163,WORKING,Portuguese Water Dog,Medium,Up to 1 hour per day,Large house,Every day,Medium,No,Over 10 years,No,Either,Small/ medium garden
164,TOY,Pug,Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
165,WORKING,Pyrenean Mastiff (Imp),Large,Up to 1 hour per day,Large house,Every day,Medium,Yes,Under 10 years,No,Either,Large garden
166,PASTORAL,Pyrenean Mountain Dog,Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Under 10 years,No,Either,Large garden
167,PASTORAL,Pyrenean Sheepdog (Long Haired),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Under 10 years,No,Either,Small/ medium garden
168,PASTORAL,Pyrenean Sheepdog (Smooth Faced) (Imp),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Under 10 years,No,Either,Small/ medium garden
169,GUNDOG,Retriever (Chesapeake Bay),Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
170,GUNDOG,Retriever (Curly Coated),Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,Yes,Either,Large garden
171,GUNDOG,Retriever (Flat Coated),Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Under 10 years,No,Either,Large garden
172,GUNDOG,Retriever (Golden),Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
173,GUNDOG,Retriever (Labrador),Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
174,GUNDOG,Retriever (Nova Scotia Duck Tolling),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Under 10 years,No,Either,Small/ medium garden
175,HOUND,Rhodesian Ridgeback,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
176,WORKING,Rottweiler,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,No,Either,Large garden
177,WORKING,Russian Black Terrier,Large,More than 2 hours per day,Large house,Every day,Medium,No,Over 10 years,No,Either,Large garden
178,TOY,Russian Toy (Imp),Small,Up to 1 hour per day,Flat/ Apartment,Every day,Short,Yes,Over 12 years,No,Either,Small/ medium garden
179,HOUND,Saluki,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 12 years,No,Country,Large garden
180,PASTORAL,Samoyed,Medium,More than 2 hours per day,Large house,Every day,Medium,Yes,Over 10 years,No,Country,Large garden
181,UTILITY,Schipperke,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
182,UTILITY,Schnauzer,Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
183,TERRIER,Scottish Terrier,Small,Up to 1 hour per day,Small house,Every day,Long,Yes,Over 10 years,No,Either,Small/ medium garden
184,TERRIER,Sealyham Terrier,Small,Up to 1 hour per day,Small house,Every day,Long,No,Over 10 years,Yes,Either,Small/ medium garden
185,UTILITY,Shar Pei,Medium,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
186,PASTORAL,Shetland Sheepdog,Small,Up to 1 hour per day,Small house,Every day,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
187,UTILITY,Shih Tzu,Small,Up to 1 hour per day,Flat/ Apartment,Every day,Long,No,Over 10 years,No,Either,Small/ medium garden
188,WORKING,Siberian Husky,Medium,More than 2 hours per day,Large house,More than once a week,Short,Yes,Over 10 years,No,Country,Large garden
189,TERRIER,Skye Terrier,Small,Up to 1 hour per day,Small house,More than once a week,Long,Yes,Over 12 years,Yes,Either,Small/ medium garden
190,HOUND,Sloughi,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,No,Country,Large garden
191,GUNDOG,Slovakian Rough Haired Pointer (Imp),Large,Up to 1 hour per day,Large house,Once a week,Medium,No,Over 10 years,No,Country,Large garden
192,GUNDOG,Small Munsterlander (Imp),Medium,Up to 1 hour per day,Small house,Once a week,Medium,Yes,Over 10 years,No,Country,Small/ medium garden
193,TERRIER,Soft Coated Wheaten Terrier,Medium,Up to 1 hour per day,Small house,Every day,Medium,No,Over 12 years,Yes,Either,Small/ medium garden
194,GUNDOG,Spaniel (American Cocker),Small,More than 2 hours per day,Small house,Every day,Long,Yes,Over 10 years,No,Either,Large garden
195,GUNDOG,Spaniel (American Water) (Imp),Medium,Up to 1 hour per day,Small house,Once a week,Medium,No,Over 10 years,No,Either,Small/ medium garden
196,GUNDOG,Spaniel (Clumber),Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Over 10 years,Yes,Country,Small/ medium garden
197,GUNDOG,Spaniel (Cocker),Small,Up to 1 hour per day,Small house,Every day,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
198,GUNDOG,Spaniel (English Springer),Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
199,GUNDOG,Spaniel (Field),Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 10 years,Yes,Country,Large garden
200,GUNDOG,Spaniel (Irish Water),Medium,More than 2 hours per day,Large house,More than once a week,Medium,No,Under 10 years,Yes,Country,Large garden
201,GUNDOG,Spaniel (Sussex),Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 10 years,Yes,Country,Large garden
202,GUNDOG,Spaniel (Welsh Springer),Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 10 years,Yes,Either,Large garden
203,GUNDOG,Spanish Water Dog,Medium,Up to 1 hour per day,Small house,More than once a week,Medium,No,Over 10 years,No,Country,Small/ medium garden
204,WORKING,St. Bernard,Large,Up to 1 hour per day,Large house,More than once a week,Short,Yes,Under 10 years,No,Either,Large garden
